Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
"Total, all persons ","Total, 15 years and over",Confidence in the police rating of 1 or 2 ,12.7,14.1
,,Confidence in the police rating of 3 ,22.2,22.4
,,Confidence in the police rating of 4 or 5 ,65.1,63.4
,,Confidence in the justice system and courts rating of 1 or 2 ,21.6,23.5
,,Confidence in the justice system and courts rating of 3 ,29.8,28.2
,,Confidence in the justice system and courts rating of 4 or 5 ,48.6,48.2
,,Confidence in the school system rating of 1 or 2 ,22.2,21.1
,,Confidence in the school system rating of 3 ,33,33.8
,,Confidence in the school system rating of 4 or 5 ,44.8,45
,,Confidence in the Federal Parliament rating of 1 or 2 ,39.4,40
,,Confidence in the Federal Parliament rating of 3 ,32.5,31.8
,,Confidence in the Federal Parliament rating of 4 or 5 ,28.1,28.3
,,Confidence in the Canadian media rating of 1 or 2 ,27.3,29.7
,,Confidence in the Canadian media rating of 3 ,35.9,34.1
,,Confidence in the Canadian media rating of 4 or 5 ,36.7,36.2
,15 to 24 years,Confidence in the police rating of 1 or 2 ,17.6,20.8
,,Confidence in the police rating of 3 ,21.3,22.7
,,Confidence in the police rating of 4 or 5 ,61.1,56.5
,,Confidence in the justice system and courts rating of 1 or 2 ,23.5,26.1
,,Confidence in the justice system and courts rating of 3 ,30.8,28.5
,,Confidence in the justice system and courts rating of 4 or 5 ,45.8,45.4
,,Confidence in the school system rating of 1 or 2 ,26.4,26
,,Confidence in the school system rating of 3 ,33.6,32.3
,,Confidence in the school system rating of 4 or 5 ,40.1,41.7
,,Confidence in the Federal Parliament rating of 1 or 2 ,40.2,35.5
,,Confidence in the Federal Parliament rating of 3 ,31.3,33.3
,,Confidence in the Federal Parliament rating of 4 or 5 ,28.6,31.2
,,Confidence in the Canadian media rating of 1 or 2 ,31.3,30.1
,,Confidence in the Canadian media rating of 3 ,34.7,35.2
,,Confidence in the Canadian media rating of 4 or 5 ,34,34.6
,25 to 54 years,Confidence in the police rating of 1 or 2 ,14.7,16.6
,,Confidence in the police rating of 3 ,24.7,25.4
,,Confidence in the police rating of 4 or 5 ,60.6,58
,,Confidence in the justice system and courts rating of 1 or 2 ,23,25.4
,,Confidence in the justice system and courts rating of 3 ,29.9,27.8
,,Confidence in the justice system and courts rating of 4 or 5 ,47.1,46.9
,,Confidence in the school system rating of 1 or 2 ,24.1,22.3
,,Confidence in the school system rating of 3 ,32.8,35.1
,,Confidence in the school system rating of 4 or 5 ,43.1,42.6
,,Confidence in the Federal Parliament rating of 1 or 2 ,40.4,43.1
,,Confidence in the Federal Parliament rating of 3 ,32.3,30.1
,,Confidence in the Federal Parliament rating of 4 or 5 ,27.3,26.8
,,Confidence in the Canadian media rating of 1 or 2 ,30.1,34.1
,,Confidence in the Canadian media rating of 3 ,36.1,33.3
,,Confidence in the Canadian media rating of 4 or 5 ,33.8,32.6
,55 to 64 years,Confidence in the police rating of 1 or 2 ,10.1,10.7
,,Confidence in the police rating of 3 ,20,21.1
,,Confidence in the police rating of 4 or 5 ,69.9,68.2
,,Confidence in the justice system and courts rating of 1 or 2 ,19.5,22
,,Confidence in the justice system and courts rating of 3 ,29.5,30
,,Confidence in the justice system and courts rating of 4 or 5 ,51,48.1
,,Confidence in the school system rating of 1 or 2 ,19.1,19.7
,,Confidence in the school system rating of 3 ,33.9,34.4
,,Confidence in the school system rating of 4 or 5 ,47,45.9
,,Confidence in the Federal Parliament rating of 1 or 2 ,40.5,42.8
,,Confidence in the Federal Parliament rating of 3 ,33.4,32
,,Confidence in the Federal Parliament rating of 4 or 5 ,26.1,25.2
,,Confidence in the Canadian media rating of 1 or 2 ,23.8,28.2
,,Confidence in the Canadian media rating of 3 ,37.8,35.8
,,Confidence in the Canadian media rating of 4 or 5 ,38.5,36
,65 years and over,Confidence in the police rating of 1 or 2 ,7.1,6.6
,,Confidence in the police rating of 3 ,18.8,16.7
,,Confidence in the police rating of 4 or 5 ,74.1,76.7
,,Confidence in the justice system and courts rating of 1 or 2 ,18.8,18.9
,,Confidence in the justice system and courts rating of 3 ,29.1,28
