Gender,Sociodemographic ,Indicators,Q4_2024
"Total, all persons ","Total, 15 years and over",Confidence in the police rating of 1 or 2 4,14.1
,,Confidence in the police rating of 3 4,22.4
,,Confidence in the police rating of 4 or 5 4,63.4
,,Confidence in the justice system and courts rating of 1 or 2 4,23.5
,,Confidence in the justice system and courts rating of 3 4,28.2
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,21.1
,,Confidence in the school system rating of 3 4,33.8
,,Confidence in the school system rating of 4 or 5 4,45
,,Confidence in the Federal Parliament rating of 1 or 2 4,40
,,Confidence in the Federal Parliament rating of 3 4,31.8
,,Confidence in the Federal Parliament rating of 4 or 5 4,28.3
,,Confidence in the Canadian media rating of 1 or 2 4,29.7
,,Confidence in the Canadian media rating of 3 4,34.1
,,Confidence in the Canadian media rating of 4 or 5 4,36.2
,15 to 24 years,Confidence in the police rating of 1 or 2 4,20.8
,,Confidence in the police rating of 3 4,22.7
,,Confidence in the police rating of 4 or 5 4,56.5
,,Confidence in the justice system and courts rating of 1 or 2 4,26.1
,,Confidence in the justice system and courts rating of 3 4,28.5
,,Confidence in the justice system and courts rating of 4 or 5 4,45.4
,,Confidence in the school system rating of 1 or 2 4,26
,,Confidence in the school system rating of 3 4,32.3
,,Confidence in the school system rating of 4 or 5 4,41.7
,,Confidence in the Federal Parliament rating of 1 or 2 4,35.5
,,Confidence in the Federal Parliament rating of 3 4,33.3
,,Confidence in the Federal Parliament rating of 4 or 5 4,31.2
,,Confidence in the Canadian media rating of 1 or 2 4,30.1
,,Confidence in the Canadian media rating of 3 4,35.2
,,Confidence in the Canadian media rating of 4 or 5 4,34.6
,25 to 34 years,Confidence in the police rating of 1 or 2 4,20.4
,,Confidence in the police rating of 3 4,27
,,Confidence in the police rating of 4 or 5 4,52.6
,,Confidence in the justice system and courts rating of 1 or 2 4,29.7
,,Confidence in the justice system and courts rating of 3 4,25.6
,,Confidence in the justice system and courts rating of 4 or 5 4,44.7
,,Confidence in the school system rating of 1 or 2 4,25.6
,,Confidence in the school system rating of 3 4,34.7
,,Confidence in the school system rating of 4 or 5 4,39.8
,,Confidence in the Federal Parliament rating of 1 or 2 4,45.3
,,Confidence in the Federal Parliament rating of 3 4,30.1
,,Confidence in the Federal Parliament rating of 4 or 5 4,24.6
,,Confidence in the Canadian media rating of 1 or 2 4,37.1
,,Confidence in the Canadian media rating of 3 4,34.7
,,Confidence in the Canadian media rating of 4 or 5 4,28.2
,35 to 44 years,Confidence in the police rating of 1 or 2 4,15.4
,,Confidence in the police rating of 3 4,26.9
,,Confidence in the police rating of 4 or 5 4,57.7
,,Confidence in the justice system and courts rating of 1 or 2 4,22.6
,,Confidence in the justice system and courts rating of 3 4,29.7
,,Confidence in the justice system and courts rating of 4 or 5 4,47.7
,,Confidence in the school system rating of 1 or 2 4,19.8
,,Confidence in the school system rating of 3 4,35.1
,,Confidence in the school system rating of 4 or 5 4,45.2
,,Confidence in the Federal Parliament rating of 1 or 2 4,40.8
,,Confidence in the Federal Parliament rating of 3 4,32.3
,,Confidence in the Federal Parliament rating of 4 or 5 4,27
,,Confidence in the Canadian media rating of 1 or 2 4,31.6
,,Confidence in the Canadian media rating of 3 4,35.4
,,Confidence in the Canadian media rating of 4 or 5 4,33
,45 to 54 years,Confidence in the police rating of 1 or 2 4,13.5
,,Confidence in the police rating of 3 4,21.8
,,Confidence in the police rating of 4 or 5 4,64.8
,,Confidence in the justice system and courts rating of 1 or 2 4,23.2
,,Confidence in the justice system and courts rating of 3 4,28.2
,,Confidence in the justice system and courts rating of 4 or 5 4,48.6
,,Confidence in the school system rating of 1 or 2 4,21.4
,,Confidence in the school system rating of 3 4,35.5
,,Confidence in the school system rating of 4 or 5 4,43.1
,,Confidence in the Federal Parliament rating of 1 or 2 4,43
,,Confidence in the Federal Parliament rating of 3 4,27.6
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.4
,,Confidence in the Canadian media rating of 1 or 2 4,33.3
,,Confidence in the Canadian media rating of 3 4,29.1
,,Confidence in the Canadian media rating of 4 or 5 4,37.6
